T06,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2018,Students enrolled in secondary education (thousands),594663.1921,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Gross enrollment ratio - Secondary (male),75.9838,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Gross enrollment ratio - Secondary (female),75.1079,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Students enrolled in tertiary education (thousands),223671.8735,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Gross enrollment ratio - Tertiary (male),35.6392,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Gross enrollment ratio - Tertiary (female),40.6049,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Students enrolled in primary education (thousands),23022.9900,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Gross enrollment ratio - Primary (male),96.9346,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),89.9283,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Students enrolled in secondary education (thousands),16897.2124,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Gross enrollment ratio - Secondary (male),69.8168,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Gross enrollment ratio - Secondary (female),68.9041,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Students enrolled in tertiary education (thousands),4585.9478,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (male),24.1102,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (female),23.2441,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Students enrolled in primary education (thousands),23597.7149,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Gross enrollment ratio - Primary (male),100.8010,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Gross enrollment ratio - Primary (female),95.4895,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Students enrolled in secondary education (thousands),17398.6579,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Gross enrollment ratio - Secondary (male),71.9724,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Gross enrollment ratio - Secondary (female),70.3470,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Students enrolled in tertiary education (thousands),5514.0766,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (male),26.2268,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
